Texto PlantUML, Etiqueta
"@startuml class CLASS1 { - attribute1: DataType + method1(): ReturnType } class CLASS2 { - attribute2: DataType + method2(): ReturnType } CLASS1 --|> CLASS2 @enduml", GOODUMLTRUE,
"@startuml class MyClass { - myAttribute: String + myMethod(): void } MyClass --|> AnotherClass @enduml", GOODUMLTRUE,
"@startuml class Employee { - id: int - name: String + getId(): int + getName(): String } class Manager { - teamSize: int + getTeamSize(): int } Employee <|-- Manager @enduml", GOODUMLTRUE,
"@startuml class Car { - brand: String - model: String - year: int + getBrand(): String + getModel(): String + getYear(): int } class Engine { - type: String + getType(): String } Car *-- Engine @enduml", GOODUMLTRUE,
"@startuml class Animal { - name: String + makeSound(): void } class Dog { - breed: String + wagTail(): void } class Cat { - color: String + purr(): void } Animal <|-- Dog Animal <|-- Cat @enduml", GOODUMLTRUE,
"@startuml class Person { - name: String - age: int + setName(name: String): void + setAge(age: int): void + getName(): String + getAge(): int } class Address { - street: String - city: String - zipCode: String + setStreet(street: String): void + setCity(city: String): void + setZipCode(zipCode: String): void + getStreet(): String + getCity(): String + getZipCode(): String } Person *-- Address @enduml", GOODUMLTRUE,
"@startuml class User { - username: String - password: String + setUsername(username: String): void + setPassword(password: String): void + getUsername(): String + getPassword(): String } class Database { + saveUser(user: User): void + getUser(username: String): User } User *-- Database @enduml", GOODUMLTRUE,
"@startuml class Customer { - customerId: int - name: String - email: String + getCustomerId(): int + getName(): String + getEmail(): String } class Order { - orderId: int - totalAmount: double + getOrderId(): int + getTotalAmount(): double } Customer "1" -- "0..*" Order @enduml", GOODUMLTRUE,
"@startuml class Product { - productId: int - name: String - price: double + getProductId(): int + getName(): String + getPrice(): double } class ShoppingCart { - items: List<Product> + addItem(item: Product): void + removeItem(item: Product): void + checkout(): void } Product "1" *-- "0..*" ShoppingCart @enduml", GOODUMLTRUE,
"@startuml interface Shape { + calculateArea(): double } class Circle { - radius: double + calculateArea(): double } class Rectangle { - width: double - height: double + calculateArea(): double } Shape <|-- Circle Shape <|-- Rectangle @enduml", GOODUMLTRUE,
"@startuml interface Printable { + print(): void } class Document { + print(): void } class Printer { + print(document: Printable): void } Printable <|-- Document Printer *-- Document @enduml", GOODUMLTRUE,
